Well,Content Name,Concentration (M),Volume (mL),Diluted in,Identifiers (to be added)
A1,E. Coli,0.4,0.06,LB,bing
A2,E. Coli,0.4,0.06,LB,bing
A3,E. Coli,0.4,0.06,LB,bing
A4,E. Coli,0.4,0.06,LB,bing
A5,E. Coli,0.4,0.06,LB,bing
A6,E. Coli,0.4,0.06,LB,bing
A7,E. Coli,0.4,0.06,LB,bing
A8,E. Coli,0.4,0.06,LB,bing
A9,E. Coli,0.4,0.06,LB,bing
A10,E. Coli,0.4,0.06,LB,bing
A11,E. Coli,0.4,0.06,LB,bing
A12,E. Coli,0.4,0.06,LB,bing
B1,E. Coli,0.4,0.06,LB,bing
B2,E. Coli,0.4,0.06,LB,bing
B3,E. Coli,0.4,0.06,LB,bing
B4,E. Coli,0.4,0.06,LB,bing
B5,E. Coli,0.4,0.06,LB,bing
B6,E. Coli,0.4,0.06,LB,bing
B7,E. Coli,0.4,0.06,LB,bing
B8,E. Coli,0.4,0.06,LB,bing
B9,E. Coli,0.4,0.06,LB,bing
B10,E. Coli,0.4,0.06,LB,bing
B11,E. Coli,0.4,0.06,LB,bing
B12,E. Coli,0.4,0.06,LB,bing
C1,E. Coli,0.4,0.06,LB,bing
C2,E. Coli,0.4,0.06,LB,bing
C3,E. Coli,0.4,0.06,LB,bing
C4,E. Coli,0.4,0.06,LB,bing
C5,E. Coli,0.4,0.06,LB,bing
C6,E. Coli,0.4,0.06,LB,bing
C7,E. Coli,0.4,0.06,LB,bing
C8,E. Coli,0.4,0.06,LB,bing
C9,E. Coli,0.4,0.06,LB,bing
C10,E. Coli,0.4,0.06,LB,bing
C11,E. Coli,0.4,0.06,LB,bing
C12,E. Coli,0.4,0.06,LB,bing
D1,E. Coli,0.4,0.06,LB,bing
D2,E. Coli,0.4,0.06,LB,bing
D3,E. Coli,0.4,0.06,LB,bing
D4,E. Coli,0.4,0.06,LB,bing
D5,E. Coli,0.4,0.06,LB,bing
D6,E. Coli,0.4,0.06,LB,bing
D7,E. Coli,0.4,0.06,LB,bing
D8,E. Coli,0.4,0.06,LB,bing
D9,E. Coli,0.4,0.06,LB,bing
D10,E. Coli,0.4,0.06,LB,bing
D11,E. Coli,0.4,0.06,LB,bing
D12,E. Coli,0.4,0.06,LB,bing
E1,E. Coli,0.4,0.06,LB,bing
E2,E. Coli,0.4,0.06,LB,bing
E3,E. Coli,0.4,0.06,LB,bing
E4,E. Coli,0.4,0.06,LB,bing
E5,E. Coli,0.4,0.06,LB,bing
E6,E. Coli,0.4,0.06,LB,bing
E7,E. Coli,0.4,0.06,LB,bing
E8,E. Coli,0.4,0.06,LB,bing
E9,E. Coli,0.4,0.06,LB,bing
E10,E. Coli,0.4,0.06,LB,bing
E11,E. Coli,0.4,0.06,LB,bing
E12,E. Coli,0.4,0.06,LB,bing
F1,E. Coli,0.4,0.06,LB,bing
F2,E. Coli,0.4,0.06,LB,bing
F3,E. Coli,0.4,0.06,LB,bing
F4,E. Coli,0.4,0.06,LB,bing
F5,E. Coli,0.4,0.06,LB,bing
F6,E. Coli,0.4,0.06,LB,bing
F7,E. Coli,0.4,0.06,LB,bing
F8,E. Coli,0.4,0.06,LB,bing
F9,E. Coli,0.4,0.06,LB,bing
F10,E. Coli,0.4,0.06,LB,bing
F11,E. Coli,0.4,0.06,LB,bing
F12,E. Coli,0.4,0.06,LB,bing
G1,E. Coli,0.4,0.06,LB,bing
G2,E. Coli,0.4,0.06,LB,bing
G3,E. Coli,0.4,0.06,LB,bing
G4,E. Coli,0.4,0.06,LB,bing
G5,E. Coli,0.4,0.06,LB,bing
G6,E. Coli,0.4,0.06,LB,bing
G7,E. Coli,0.4,0.06,LB,bing
G8,E. Coli,0.4,0.06,LB,bing
G9,E. Coli,0.4,0.06,LB,bing
G10,E. Coli,0.4,0.06,LB,bing
G11,E. Coli,0.4,0.06,LB,bing
G12,E. Coli,0.4,0.06,LB,bing
H1,E. Coli,0.4,0.06,LB,bing
H2,E. Coli,0.4,0.06,LB,bing
H3,E. Coli,0.4,0.06,LB,bing
H4,E. Coli,0.4,0.06,LB,bing
H5,E. Coli,0.4,0.06,LB,bing
H6,E. Coli,0.4,0.06,LB,bing
H7,E. Coli,0.4,0.06,LB,bing
H8,E. Coli,0.4,0.06,LB,bing
H9,E. Coli,0.4,0.06,LB,bing
H10,E. Coli,0.4,0.06,LB,bing
H11,E. Coli,0.4,0.06,LB,bing
H12,E. Coli,0.4,0.06,LB,bing
